Country,juror_A,juror_B,juror_C,juror_D,juror_E,act,night,city,year
BosniaHerzegovina,14,13,7,10,10,moldova,first-semi-final,stockholm,2016
Croatia,9,1,8,6,8,moldova,first-semi-final,stockholm,2016
Cyprus,4,6,10,3,4,moldova,first-semi-final,stockholm,2016
Czechia,8,3,1,5,7,moldova,first-semi-final,stockholm,2016
Estonia,13,8,3,8,5,moldova,first-semi-final,stockholm,2016
Finland,11,10,12,13,15,moldova,first-semi-final,stockholm,2016
Greece,15,11,14,16,14,moldova,first-semi-final,stockholm,2016
Hungary,5,5,13,4,6,moldova,first-semi-final,stockholm,2016
Iceland,16,14,6,9,11,moldova,first-semi-final,stockholm,2016
Malta,3,9,4,7,9,moldova,first-semi-final,stockholm,2016
Montenegro,17,16,17,17,17,moldova,first-semi-final,stockholm,2016
Netherlands,10,7,2,12,2,moldova,first-semi-final,stockholm,2016
Russia,1,2,5,2,1,moldova,first-semi-final,stockholm,2016
SanMarino,12,17,15,15,16,moldova,first-semi-final,stockholm,2016
Armenia,1,2,1,2,3,montenegro,first-semi-final,stockholm,2016
Austria,13,17,17,11,13,montenegro,first-semi-final,stockholm,2016
Azerbaijan,8,9,5,5,4,montenegro,first-semi-final,stockholm,2016
BosniaHerzegovina,4,3,7,4,9,montenegro,first-semi-final,stockholm,2016
Croatia,2,4,3,6,8,montenegro,first-semi-final,stockholm,2016
Cyprus,11,10,8,15,12,montenegro,first-semi-final,stockholm,2016
Czechia,7,5,10,8,5,montenegro,first-semi-final,stockholm,2016
Estonia,10,14,13,12,16,montenegro,first-semi-final,stockholm,2016
Finland,15,16,12,17,14,montenegro,first-semi-final,stockholm,2016
Greece,9,7,9,7,6,montenegro,first-semi-final,stockholm,2016
Hungary,6,11,11,13,10,montenegro,first-semi-final,stockholm,2016
Iceland,16,12,14,9,11,montenegro,first-semi-final,stockholm,2016
Malta,3,1,4,1,2,montenegro,first-semi-final,stockholm,2016
Moldova,12,13,16,14,17,montenegro,first-semi-final,stockholm,2016
Netherlands,14,8,6,10,7,montenegro,first-semi-final,stockholm,2016
Russia,5,6,2,3,1,montenegro,first-semi-final,stockholm,2016
SanMarino,17,15,15,16,15,montenegro,first-semi-final,stockholm,2016
Armenia,9,8,10,5,1,netherlands,first-semi-final,stockholm,2016
Austria,7,9,3,2,10,netherlands,first-semi-final,stockholm,2016
Azerbaijan,2,13,5,3,7,netherlands,first-semi-final,stockholm,2016
BosniaHerzegovina,14,14,15,16,15,netherlands,first-semi-final,stockholm,2016
Croatia,1,4,1,1,6,netherlands,first-semi-final,stockholm,2016
Cyprus,3,2,2,9,4,netherlands,first-semi-final,stockholm,2016
Czechia,5,5,6,13,5,netherlands,first-semi-final,stockholm,2016
Estonia,13,6,13,14,13,netherlands,first-semi-final,stockholm,2016
Finland,4,10,8,4,12,netherlands,first-semi-final,stockholm,2016
Greece,16,16,17,17,17,netherlands,first-semi-final,stockholm,2016
Hungary,8,1,9,11,8,netherlands,first-semi-final,stockholm,2016
Iceland,11,12,12,8,9,netherlands,first-semi-final,stockholm,2016
Malta,6,3,4,7,2,netherlands,first-semi-final,stockholm,2016
Moldova,15,15,7,12,11,netherlands,first-semi-final,stockholm,2016
Montenegro,17,11,16,10,14,netherlands,first-semi-final,stockholm,2016
Russia,12,7,14,15,3,netherlands,first-semi-final,stockholm,2016
SanMarino,10,17,11,6,16,netherlands,first-semi-final,stockholm,2016
Armenia,1,3,2,1,12,russia,first-semi-final,stockholm,2016
Austria,14,11,6,14,12,russia,first-semi-final,stockholm,2016
Azerbaijan,3,1,1,5,10,russia,first-semi-final,stockholm,2016
BosniaHerzegovina,16,15,10,12,15,russia,first-semi-final,stockholm,2016
Croatia,13,8,3,16,1,russia,first-semi-final,stockholm,2016
Cyprus,11,10,16,10,13,russia,first-semi-final,stockholm,2016
Czechia,4,9,14,3,5,russia,first-semi-final,stockholm,2016
Estonia,10,17,8,4,2,russia,first-semi-final,stockholm,2016
Finland,17,13,17,17,17,russia,first-semi-final,stockholm,2016
Greece,5,5,4,7,7,russia,first-semi-final,stockholm,2016
Hungary,9,2,13,9,4,russia,first-semi-final,stockholm,2016
Iceland,12,12,12,11,14,russia,first-semi-final,stockholm,2016
Malta,2,6,5,2,8,russia,first-semi-final,stockholm,2016
Moldova,8,4,9,8,6,russia,first-semi-final,stockholm,2016
Montenegro,6,7,15,6,3,russia,first-semi-final,stockholm,2016
Netherlands,7,14,7,13,11,russia,first-semi-final,stockholm,2016
SanMarino,15,16,11,15,16,russia,first-semi-final,stockholm,2016
Armenia,10,11,14,7,5,san-marino,first-semi-final,stockholm,2016
Austria,4,14,9,14,10,san-marino,first-semi-final,stockholm,2016
Azerbaijan,13,7,2,4,12,san-marino,first-semi-final,stockholm,2016
BosniaHerzegovina,5,12,3,12,13,san-marino,first-semi-final,stockholm,2016
Croatia,3,10,6,16,11,san-marino,first-semi-final,stockholm,2016
Cyprus,8,3,5,11,6,san-marino,first-semi-final,stockholm,2016
Czechia,2,16,15,8,1,san-marino,first-semi-final,stockholm,2016
Estonia,16,15,16,13,17,san-marino,first-semi-final,stockholm,2016
Finland,14,17,17,2,16,san-marino,first-semi-final,stockholm,2016
Greece,7,1,11,17,15,san-marino,first-semi-final,stockholm,2016
Hungary,11,8,10,10,9,san-marino,first-semi-final,stockholm,2016
Iceland,6,13,8,3,7,san-marino,first-semi-final,stockholm,2016
Malta,15,5,12,1,8,san-marino,first-semi-final,stockholm,2016
Moldova,12,9,13,6,14,san-marino,first-semi-final,stockholm,2016
Montenegro,9,6,4,9,4,san-marino,first-semi-final,stockholm,2016
Netherlands,1,4,1,5,3,san-marino,first-semi-final,stockholm,2016
Russia,17,2,7,15,2,san-marino,first-semi-final,stockholm,2016
Armenia,2,3,2,2,1,spain,first-semi-final,stockholm,2016
Austria,10,11,14,9,8,spain,first-semi-final,stockholm,2016
Azerbaijan,6,13,4,3,4,spain,first-semi-final,stockholm,2016
BosniaHerzegovina,17,15,15,15,13,spain,first-semi-final,stockholm,2016
Croatia,12,14,7,8,11,spain,first-semi-final,stockholm,2016
Cyprus,8,7,12,7,14,spain,first-semi-final,stockholm,2016
